"question_clean","answer_clean"
"Здравствуйте, где брать билеты на скоростной поезд Ташкент – Самарканд? Где в Самарканде можно переночевать, что стоит посмотреть, чтобы ничего не упустить. Всем спасибо.","Билеты на сайте ЖД Узбекистана."
"Здравствуйте, где брать билеты на скоростной поезд Ташкент – Самарканд? Где в Самарканде можно переночевать, что стоит посмотреть, чтобы ничего не упустить. Всем спасибо.","1. На сайте ЖД или в кассе Северного вокзала.  
2. Жильё можно найти на Booking, также могу порекомендовать гостиницу Райхон и Шахзода.  
3. Лучше купить путеводитель по достопримечательностям, 10 тысяч рублей, продается в киосках или дешевле на рынке рядом с вокзалом."
"Здравствуйте, где брать билеты на скоростной поезд Ташкент – Самарканд? Где в Самарканде можно переночевать, что стоит посмотреть, чтобы ничего не упустить. Всем спасибо.","Да, на Туту.ру можно купить билеты"
"Здравствуйте, где брать билеты на скоростной поезд Ташкент – Самарканд? Где в Самарканде можно переночевать, что стоит посмотреть, чтобы ничего не упустить. Всем спасибо.","</think>"
"Здравствуйте, где брать билеты на скоростной поезд Ташкент – Самарканд? Где в Самарканде можно переночевать, что стоит посмотреть, чтобы ничего не упустить. Всем спасибо.","Покупал через, возможно, есть комиссия, но просто было удобнее. Для скоростных поездов лучше покупать билеты за 2-4 недели, иначе билетов не будет."
"Что завтра будет перспективно в плане изучения языков, React, Flutter, разработки под ОС, Laravel, Python и других технологий? У кого какие мысли?","C++ наше всё"
"Что завтра будет перспективно в плане изучения языков, React, Flutter, разработки под ОС, Laravel, Python и других технологий? У кого какие мысли?","Основы Python можно довольно быстро освоить, даже если в будущем на нём не будешь писать. Понимать синтаксис полезно, потому что он используется повсюду."
"Что завтра будет перспективно в плане изучения языков, React, Flutter, разработки под ОС, Laravel, Python и других технологий? У кого какие мысли?","Не уверен, что делает Laravel и Python в одном сообщении. Вопрос поставлен не совсем корректно. В каждой области они применяются по-разному. У Python и React свои ниши, и оба будут актуальны ещё долго."
"Что завтра будет перспективно в плане изучения языков, React, Flutter, разработки под ОС, Laravel, Python и других технологий? У кого какие мысли?","Говорят, перспективные функциональные языки (Scala + Cats, Rust, Haskell), но большинство реальных задач решают на императивных (Python, Ruby, PL/SQL, Java). Выбирай любой — ошибешься не сильно. Для новичка стоит изучить основы. Чек-лист по бэкенду от прошлой работы три года назад."
"Что завтра будет перспективно в плане изучения языков, React, Flutter, разработки под ОС, Laravel, Python и других технологий? У кого какие мысли?","Слышал два мнения на этот счёт: первое — выбирать популярные языки, ведь на них всегда есть работа, большое сообщество и много готовых решений. Второй подход — выбрать перспективный язык, например, Go, но сейчас в России на нём трудоустройство сложное. Я склоняюсь к первому варианту, особенно для новичков, но важнее определиться, в какой области хочется работать: корпоративный сектор, разработка под платформы, веб-разработка и т.д."
"Спасибо тем, кто ответил. А где лучше учиться? Например, разные курсы или всё-таки репетитор для подростка? Или есть другой вариант? У кого-то какой-то опыт?","Книги"
"Спасибо тем, кто ответил. А где лучше учиться? Например, разные курсы или всё-таки репетитор для подростка? Или есть другой вариант? У кого-то какой-то опыт?","Пусть сделает приложение-фонарик для своего смартфона. Потом — телеграм-бот для расписания в университете."
"Ни у кого не было необходимости сделать пару глухих отверстий в гипсе, бетоне или пеноблоке? Куда можно обратиться? Аренда перфоратора, как правило, начинается от суток, часто требуют оплату минимум за двое суток (на OLX). Есть ли вариант почасовой аренды? Или в какую сторону, кроме покупки перфоратора, смотреть? Спасибо за советы.","Обратитесь в Жек, за 20 тыс. сделают хоть какие-то отверстия."
"ребят, есть тут сетевики или девопсы? готов платить за настройку mac, чтобы подключаться к серверу в москве, а с него дальше — к рабочей среде через впн.  

идея с впн на впн не сработала. роутер тоже не могу прошить (перемещаюсь). поставил вм на vk cloud, но она выходит в интернет через лондон.","1. Покупаешь VPS-сервер по инструкции (до возни с PuTTY)
2. Настраиваешь VPN-сервер (с случайным пятизначным портом)
3. Загружаешь в свой клиент на Mac конфиг (я использую Tunnelblick) и запускаешь его
4. Далее подключаешься к своим рабочим ВПН"
"Выдают ли ВНЖ в виде карточки? В принципе сложно его получить, если есть свидетельство о рождении в Узбекистане и постоянная прописка?","Есть группы по восстановлению гражданства. Получить ВНЖ сложно — нужно приобрести очень дорогую недвижимость. Либо получить ИТ-визу, и тогда недвижимость может быть дешевле."
"Выдают ли ВНЖ в виде карточки? В принципе сложно его получить, если есть свидетельство о рождении в Узбекистане и постоянная прописка?","Тут должен быть родственник"
"Кто-нибудь знает, какие системы учета чаще всего используются в небольших розничных магазинах Узбекистана? Что-то вроде «1С:Розница»?","Я думаю, что 1С используется."
"Кто-нибудь знает, какие системы учета чаще всего используются в небольших розничных магазинах Узбекистана? Что-то вроде «1С:Розница»?","Точно есть магазины с далион + Frontol"
"Кто-нибудь знает, какие системы учета чаще всего используются в небольших розничных магазинах Узбекистана? Что-то вроде «1С:Розница»?","р кипер"
"Привет, ребята!  
Ищете ли вы дизайнеров интерфейсов для веба и мобильных приложений с определённым опытом и временем на проект? У меня есть задача по доработке интерфейсов B2B-торговой системы. Если вы заинтересованы, напишите, пожалуйста, в личные сообщения с примерами своих работ в этой области (например, e-commerce, B2B).","Могу порекомендовать хорошего специалиста из Минска, но он работает удалённо."
"Привет, ребята!  
Ищете ли вы дизайнеров интерфейсов для веба и мобильных приложений с определённым опытом и временем на проект? У меня есть задача по доработке интерфейсов B2B-торговой системы. Если вы заинтересованы, напишите, пожалуйста, в личные сообщения с примерами своих работ в этой области (например, e-commerce, B2B).","Могу поработать, но только удалённо. Опыт 7 лет, последнее место работы — Авито. Работы могу скинуть в лс, если можно работать удалённо."
"Ваша работа в УЗ? Или удалёнка (РФ или ещё где), фриланс?","Пока фриланс. Смотрим на местный рынок тоже."
"Всем привет! Кто-нибудь уже пробовал выводить криптовалюту в фиат в Узбекистане? Например, получать наличными или выводить через обменник или P2P на местную карту?","P2P проще всего, если есть карта."
"Знаете, где на Малике можно купить телефоны на Android?","Я покупал, всё нормально, там их полно этих магазинов."
"А где лучше купить телефон Samsung? Склоняюсь к официальному магазину Samsung или MediaPark, на Малике как-то очково.","Я взял на Malike, с гарантией на месяц, было на 20-30% дешевле, чем в Медиапарке и других."
"А где лучше купить телефон Samsung? Склоняюсь к официальному магазину Samsung или MediaPark, на Малике как-то очково.","Медиапарк — такая же малика, только понтов больше"
"А где лучше купить телефон Samsung? Склоняюсь к официальному магазину Samsung или MediaPark, на Малике как-то очково.","На Малике всё нормально. Если есть местный знакомый, можно попросить его сходить вместе, но в целом не помню, чтобы были особые проблемы."
"Всем доброго дня!  
Хочу открыть ИП в Самарканде, работаю на американскую фирму. Возник такой вопрос: есть ли здесь люди с успешным опытом открытия ИП и счета для него, которые работают на зарубежные компании?","Зарегистрируйтесь онлайн как самозанятый. Детали и виды деятельности легко найти в поисковой системе."
"Всем доброго дня!  
Хочу открыть ИП в Самарканде, работаю на американскую фирму. Возник такой вопрос: есть ли здесь люди с успешным опытом открытия ИП и счета для него, которые работают на зарубежные компании?","Кто-то гонял из Ташкента в область.  
Спросите в чате кэша.  
Там больше знают по тематике."
"Где можно купить Форте?","В аптеках был"
"Артём, нужно ли после выезда из хостела заново регистрироваться? И если да, то в какие сроки?","12 часов после первой регистрации в системе."
"Артём, нужно ли после выезда из хостела заново регистрироваться? И если да, то в какие сроки?","Обязательно"
"Артём, нужно ли после выезда из хостела заново регистрироваться? И если да, то в какие сроки?","В тот же день можно попросить хостел выписать вас на 2-3 дня позже, согласно программе."
"Пожалуйста, разъясните ситуацию. Я въехал в Узбекистан 4 октября и сразу заселился в хостел. Однако документ с регистрацией получил только вчера, на нём указана дата 15 октября. Планирую находиться в стране полтора-два месяца. Можно ли продлить регистрацию на три месяца в другом городе, но при этом жить и находиться в Ташкенте в хостеле без выселения?","Да, если я правильно понял вопрос"
"Пожалуйста, разъясните ситуацию. Я въехал в Узбекистан 4 октября и сразу заселился в хостел. Однако документ с регистрацией получил только вчера, на нём указана дата 15 октября. Планирую находиться в стране полтора-два месяца. Можно ли продлить регистрацию на три месяца в другом городе, но при этом жить и находиться в Ташкенте в хостеле без выселения?","Короче, какая тема? У вас должна быть регистрация непрерывно. Если вы были зарегестрированы в системе, но выехали из хостела — у вас 12 часов, чтобы указать новое место регистрации. Где бы оно ни было — всё равно."
"Пожалуйста, разъясните ситуацию. Я въехал в Узбекистан 4 октября и сразу заселился в хостел. Однако документ с регистрацией получил только вчера, на нём указана дата 15 октября. Планирую находиться в стране полтора-два месяца. Можно ли продлить регистрацию на три месяца в другом городе, но при этом жить и находиться в Ташкенте в хостеле без выселения?","Добрый вечер!  
В каждой гостинице есть программа мехмонхона.  
Попросите сделать регистрацию как отдельный турист.  
Вам оформят регистрацию на срок до даты, которая вам нужна, либо вы сможете продлить проживание.  
Проживать можно в любом месте."
"Ребят, кто-то знает, как звонить сюда через интернет на мобильные номера РФ? Посоветуйте проверенное ПО.","Я пробовал включить Zadarma, всё работает нормально через VPN."
"Ребят, кто-то знает, как звонить сюда через интернет на мобильные номера РФ? Посоветуйте проверенное ПО.","Раз уж мы в чате айтишников, то можно организовать мост сразу из Телеги на VOIP. Погугли, я сейчас не очень соображаю."
"Ребят, кто-то знает, как звонить сюда через интернет на мобильные номера РФ? Посоветуйте проверенное ПО.","VoWiFi на своей российской симке"
"Какого рода работа? IT/самозанятой или в государственной конторе?","Не самозанятый в ИТ"
"А кто знает, если провести проводной интернет в квартиру — есть ли проблемы? В продаже есть что-то вроде GSM-модемов (раньше такие были, подключались через USB), может, сейчас есть роутеры с сим-картой?","да, конечно"
"А кто знает, если провести проводной интернет в квартиру — есть ли проблемы? В продаже есть что-то вроде GSM-модемов (раньше такие были, подключались через USB), может, сейчас есть роутеры с сим-картой?","Компании, такие как Билайн и Юцел, продают."
"А кто знает, если провести проводной интернет в квартиру — есть ли проблемы? В продаже есть что-то вроде GSM-модемов (раньше такие были, подключались через USB), может, сейчас есть роутеры с сим-картой?","Подключите телефон кабелем и в настройках включите USB-модем."
"А кто знает, если провести проводной интернет в квартиру — есть ли проблемы? В продаже есть что-то вроде GSM-модемов (раньше такие были, подключались через USB), может, сейчас есть роутеры с сим-картой?","Ищи Микротик SXT LTE или LHG LTE. Дороже USB-модемов, но работают намного лучше."
"Привет.  
Кто-нибудь уже разбирался с привлечением венчурных инвестиций для игрового проекта в Узбекистане?  

Насмотрелись в интернете, но те, что нашли, не работают с геймдевами. Наверное, есть какие-то местные фонды или частные инвесторы, с которыми можно поговорить? Или есть проверенные способы найти подходящих?","надо ехать в Кремниевую долину"
"Откуда должны приезжать приезжие, чтобы их заменить? Средняя Азия или другие места?","Так я тоже не знаю, какие приезжие, вопрос только в том, что может сократиться спрос на разработчиков."
"Дада, мне такое и надо. Я просто прошу глицин, спрашиваю, есть ли дозировки побольше, говорят, что нет. А где покупали, если не секрет?","Попробуйте приложение Oson Ap-teka"
"Кто-нибудь знает, нужен ли для карты в Капитал Банке ПИН-код?","не нужен"
"Друзья, а где в Ташкенте хорошая школа английского языка, можете посоветовать?","У @MikhailGrech узнавайте"
"Привет, никто случайно не собеседовался или не планирует собеседоваться в FAANG или крупные компании вроде них?","Я собеседовался в Гугл в начале года. А что?"
"Может ли адаптер питания ноутбука испортиться из-за плохой розетки? Искрит при вставке вилки. Возможно, это связано с нестабильным электропитанием или износом контактных площадок в розетке. Искрение — признак неисправности, которая может повредить не только адаптер, но и вызвать аварийную ситуацию. Проверьте розетку, убедитесь в её исправности, а при сомнениях используйте проверенный удлинитель с защитой или обратитесь к электрику.","Иногда везде искрит. Купите сетевой адаптер с выключателем — будет спокойнее."
"А я ошибаюсь или вы о корейцах на рынках говорили? Можно подсказать, где это?","Я во всех чатах рассказывала всё, что угодно, а какое именно направление?"
"А я ошибаюсь или вы о корейцах на рынках говорили? Можно подсказать, где это?","Я уже, наверное, засыпаю, ну так всё равно, тем более дешевле и разнообразнее. А на Юнуса Обадского и Госпитальном рынках неплохой выбор."
"Откуда вообще взялся этот форс? На сайте я нигде не нашёл доказательств.","Они анонсировали эту новость. Но было 146%."
"Доброе утро всем. Подскажите, какой сервис для поиска работы самый ходовой в Узбекистане?","HH, и группы в Telegram"
"Доброе утро всем. Подскажите, какой сервис для поиска работы самый ходовой в Узбекистане?","</think>"
"Доброе утро всем. Подскажите, какой сервис для поиска работы самый ходовой в Узбекистане?","Добрый день, если вы программист. Вы можете обращаться в Ит Парк. Если вы в Самарканде, напишите мне."
"А это не первый этап? То есть сначала выйти к HR, поговорить с ним о себе, а потом пройти собеседование или выполнить тестовое задание.","В найме ТА участвуют, а не HR. Их обязанности почти не пересекаются."
"Доброе утро, коллеги. Подскажите, не знаете ли вы, есть ли возможность сдать экзамены на CCNA и ITIL без прохождения обучения? Хотелось бы получить подтверждение имеющихся навыков, чтобы не платить за ненужное обучение. Спасибо.","Открой сайт Pearson Vue и найди тестовый центр или партнера, который принимает экзамен. В РУЗ, кажется, это я."
"Доброе утро, коллеги. Подскажите, не знаете ли вы, есть ли возможность сдать экзамены на CCNA и ITIL без прохождения обучения? Хотелось бы получить подтверждение имеющихся навыков, чтобы не платить за ненужное обучение. Спасибо.","От этих бумажек вообще не будет толку, они и раньше не имели ценности, а сегодня ещё меньше."
"Ребята, подскажите, где можно зарегистрировать IMEI?","Там ниже на карте точки"
"Ребята, подскажите, где можно зарегистрировать IMEI?","Можно через сайт или в главной почте."
"Ребята, подскажите, где можно зарегистрировать IMEI?","Сегодня на главпочтампе #imei #uzimei"
"Поставил ВПН-клиент на роутер — Cisco проходит авторизацию с трудом, через 5 секунд соединение прерывается, и интернет перестаёт работать на всех устройствах. Что может быть причиной такого поведения?","Маршрутизация работает некорректно: явно VPN перехватывает весь трафик, роутер теряет default route и перестаёт достигать своего собственного сервера VPN."
"Как это починить? Или, может быть, виноват Cisco AnyConnect? На другом ноуте без Cisco — всё работает прекрасно, получается, на роутере впн настроил нормально.","что за роутер и как вы туда установили Cisco AnyConnect?"
"Добрый день! Подскажите, пожалуйста, по вопросу открытия ИП в Узбекистане для нерезидентов без наёмных сотрудников (жить в Узбекистане не планирую).  
1. Я живу в России, у меня открыто ИП с февраля 2022 года (налоговая система — УСН ""доходы"", 6%).  
2. Какие налоги будут платиться в Узбекистане и в России при открытии ИП там?  
3. Возможен ли таковой только при личном визите?  

Спасибо всем за помощь!","Если вы не планируете жить в стране, то открывать ИП не рекомендуется — это обычно делают на время регистрации, и его нужно регулярно продлевать. Кроме того, налоговая и банковская система требуют личного участия в процессе."
"Добрый день! Подскажите, пожалуйста, по вопросу открытия ИП в Узбекистане для нерезидентов без наёмных сотрудников (жить в Узбекистане не планирую).  
1. Я живу в России, у меня открыто ИП с февраля 2022 года (налоговая система — УСН ""доходы"", 6%).  
2. Какие налоги будут платиться в Узбекистане и в России при открытии ИП там?  
3. Возможен ли таковой только при личном визите?  

Спасибо всем за помощь!","Я, как и многие, продолжаю работать как ИП в России, так как у ИП в РФ нет статуса резидента. Если ваши заказчики не возражают против оплаты на банковские счета в России, то просто продолжайте."
"Кстати, у меня вопрос не совсем по теме. Может, здесь есть любители пленочной фотографии или кто-то уже пробовал проявлять пленку в Ташкенте? Есть такие люди? Посоветуйте, где можно сдать пленку на проявление и сканирование.","Проявление в 139 Documentary Center.  
В Яндекс.Такси вводите название, и вас доставят.  
Проявка и оцифровка 1 катушки (36 кадров) — 100 000 сум. Файлы отправляют.  
Режим работы: со вторника по воскресенье, с 11:00 до 19:00."
"Кстати, у меня вопрос не совсем по теме. Может, здесь есть любители пленочной фотографии или кто-то уже пробовал проявлять пленку в Ташкенте? Есть такие люди? Посоветуйте, где можно сдать пленку на проявление и сканирование.","В чём привлекательность фотографии на пленке? Как у любителей винила?"
"А расскажите о самых трешовых случаях собесов, если можно, конечно?","Я как-то случайно разлил стакан воды."
"А расскажите о самых трешовых случаях собесов, если можно, конечно?","Ой, первое, что в голову пришло, однажды на финальный этап к продюсеру пришёл тестировщик в костюме кигуруми. Честно, на первом этапе он был абсолютно адекватным, собеседовали его я и лидер тестирования, показался немного гиком, но всё было в порядке. А на втором этапе дал нам жару."
"Есть вопрос: нужно подключиться к роутеру в СПб через OpenVPN. На роутере устаревшее ПО, поэтому прямое подключение из Узбекистана не работает. Подключение к серверу во Франкфурте проходит, туннель до СПб поднимается, но спидтест показывает IP Франкфурта, а доступ в локальную сеть СПб не открывается. Что я делаю не так?","Что там по nat в спб?"
"Кто-нибудь знает, есть ли в Ташкенте разговорные клубы для практики английского или доступные по цене курсы с носителями языка?","Вам важно именно использование оффлайн-режима?"
"Кто-нибудь знает, есть ли в Ташкенте разговорные клубы для практики английского или доступные по цене курсы с носителями языка?","Я онлайн и готов помочь!"
"Кто-нибудь знает, есть ли в Ташкенте разговорные клубы для практики английского или доступные по цене курсы с носителями языка?","В эко-кафе инглиш-клаб"
"Коллеги, есть ли в Узбекистане сайт с отзывами о работодателях? Никогда не писал плохих отзывов о компаниях, но одна местная компания вывела себя настолько, что хочется где-то высказать своё недовольство.","изливай сюда"
"Коллеги, есть ли в Узбекистане сайт с отзывами о работодателях? Никогда не писал плохих отзывов о компаниях, но одна местная компания вывела себя настолько, что хочется где-то высказать своё недовольство.","Мне кажется, нужно сделать отдельный чат — у моих студентов уже есть полноценные и подробные отзывы 3. И у меня есть пара."
"Коллеги, есть ли в Узбекистане сайт с отзывами о работодателях? Никогда не писал плохих отзывов о компаниях, но одна местная компания вывела себя настолько, что хочется где-то высказать своё недовольство.","Тут все отзывы базируются в просторах ФБ. Другие сайты тут не читают."
"Коллеги, есть ли в Узбекистане сайт с отзывами о работодателях? Никогда не писал плохих отзывов о компаниях, но одна местная компания вывела себя настолько, что хочется где-то высказать своё недовольство.","Ты же IT-специалист, сделай это. А мы будем использовать."
"Коллеги, есть ли в Узбекистане сайт с отзывами о работодателях? Никогда не писал плохих отзывов о компаниях, но одна местная компания вывела себя настолько, что хочется где-то высказать своё недовольство.","Расскажи, что тебя тревожит, коллега."
"Коллеги, есть ли в Узбекистане сайт с отзывами о работодателях? Никогда не писал плохих отзывов о компаниях, но одна местная компания вывела себя настолько, что хочется где-то высказать своё недовольство.","Можно просто временно добавить тег, например #фиговыйработодатель, и закрепить в закрепленном посте."
"Коллеги, есть ли в Узбекистане сайт с отзывами о работодателях? Никогда не писал плохих отзывов о компаниях, но одна местная компания вывела себя настолько, что хочется где-то высказать своё недовольство.","Напишите сюда тоже"
"Коллеги, есть ли в Узбекистане сайт с отзывами о работодателях? Никогда не писал плохих отзывов о компаниях, но одна местная компания вывела себя настолько, что хочется где-то высказать своё недовольство.","Нет сайта, но есть группа в Facebook «Потребитель.уз» — там чёрный список работодателей и т.д. Можно туда сообщить."
"Может ли работодатель наказать или наложить штраф за установку на рабочий компьютер программ вроде VPN или прокси, которые не предназначены для работы?","Посадить в тюрьму? Вряд ли. А так штраф вполне вероятен."
"Кстати, можно ли удалить Windows, если она защищена BitLocker? Ведь шифрование касается только данных, а не самого диска?","Линуксом можно весь диск перезатереть"
"Добрый день! Ни я, ни мой муж в этом разбираемся, может, кто-нибудь поможет? У мужа работа зависит от телефона — его удалённо из Москвы подключили к IP-телефонии Call Gear. Неделю он жил в Таджикистане, там всё работало. На выходных приехал в Самарканд, а теперь работа остановилась — он не может звонить. Что делать?","В Узбекистане возникают сложности с подключением к удалённому серверу в Москве из-за блокировки определённых IP-адресов и протоколов. Работаем над решением этой проблемы."
"Добрый день! Ни я, ни мой муж в этом разбираемся, может, кто-нибудь поможет? У мужа работа зависит от телефона — его удалённо из Москвы подключили к IP-телефонии Call Gear. Неделю он жил в Таджикистане, там всё работало. На выходных приехал в Самарканд, а теперь работа остановилась — он не может звонить. Что делать?","Как настроить свой OpenVPN:  
Как настроить ShadowSocks:"
"Добрый день! Ни я, ни мой муж в этом разбираемся, может, кто-нибудь поможет? У мужа работа зависит от телефона — его удалённо из Москвы подключили к IP-телефонии Call Gear. Неделю он жил в Таджикистане, там всё работало. На выходных приехал в Самарканд, а теперь работа остановилась — он не может звонить. Что делать?","Есть два варианта: использовать голосовую телефонию через VPN или приобрести в Узбекистане VoIP/SIP-номер и переадресовать входящие звонки на него.  

В Узбекистане VoIP-звонки, не проходящие через Узтелеком, блокируются.  

Вам понадобится сетевой инженер, чтобы всё настроить. Подобные кейсы решаются."
"Правильно ли я понимаю, что в ноябре между нами будет разница в час? Россия перейдёт на зимнее время, а Узбекистан — нет?","Также все останется на 2 часа."
"Извините за вопрос, возможно, не в тему... Кто-нибудь покупал плойку 4 в Ташкенте? Что по ценам? Дороже/дешевле? И где купить дешевле? Помогите, пожалуйста.","Что такое «4 в одном»?"
"Извините за вопрос, возможно, не в тему... Кто-нибудь покупал плойку 4 в Ташкенте? Что по ценам? Дороже/дешевле? И где купить дешевле? Помогите, пожалуйста.","Пора брать 5"
"Извините за вопрос, возможно, не в тему... Кто-нибудь покупал плойку 4 в Ташкенте? Что по ценам? Дороже/дешевле? И где купить дешевле? Помогите, пожалуйста.","Так все 5 уже берут."
"Извините за вопрос, возможно, не в тему... Кто-нибудь покупал плойку 4 в Ташкенте? Что по ценам? Дороже/дешевле? И где купить дешевле? Помогите, пожалуйста.","Сказали, что на малике около 6–8 лимонов."
"А до какого этажа она достреливает?","Пыль?"
"Всем привет. Знаю, что было много вопросов про ВПН, но не нашёл ответа в поиске.  

1. Пытаюсь подключиться к рабочему OpenVPN — не получается.  
2. Поднял свой VPS и установил OpenVPN по инструкции — работает нормально.  
3. Как подключиться через настроенный OpenVPN на VPS к рабочему OpenVPN? Может быть, есть другие способы?  

PS. Решил проблему запуском двух клиентов OpenVPN на своём компьютере  

#vpn #openvpn","Чтобы завернуть один тоннель в другой, нужно в конфигурационном файле первого VPN добавить:
route-nopull
route IP-ПЕРВОГО-VPN-СЕРВЕРА net_gateway
route IP-ВТОРОГО-VPN-СЕРВЕРА vpn_gateway

Далее запускайте сначала первый, затем второй — и всё должно заработать."
"Всем привет! А есть тут кто-нибудь из дев из EPAM?","Кстати, а в Epam есть день открытых дверей? Или какие-нибудь бесплатные активности?"
"Кстати, а в EPAM есть день открытых дверей? Или какие-нибудь бесплатные активности?","Да, они периодически проводят конференции или выставляются на job fair."
"Может, стоит подписать петицию и отправить её в министерство информации?","Зарегистрируй ООО и напиши запрос на разрешение на использование ВПН"
"Добрый вечер всем. Может, кто-то из вас использует ВПН на работе, чтобы выглядеть как сотрудник офиса в России? Сегодня узнал, что здесь ВПН не работают. Есть у кого-нибудь решение?","Дополнительный уровень защиты с Shadowsocks"
